"Municipality","Cases","Hospitalization","Deaths","Cases.per.100k","Hospitalization.per.100k","Deaths.per.100k"
"Heemstede",87,10,27,319.4,36.7,99.1
"Heerde",150,33,18,807,177.5,96.8
"Heerenveen",78,13,15,154.5,25.7,29.7
"Heerhugowaard",123,25,8,213.6,43.4,13.9
"Heerlen",279,108,41,320.5,124.1,47.1
"Heeze-Leende",52,13,7,322,80.5,43.3
"Heiloo",42,9,7,175.2,37.5,29.2
"Hellendoorn",59,7,2,164.2,19.5,5.6
"Hellevoetsluis",56,14,1,139.4,34.9,2.5
"Helmond",264,90,32,285.6,97.4,34.6
"Hendrik-Ido-Ambacht",27,6,3,86.5,19.2,9.6
"Hengelo",110,19,15,135.6,23.4,18.5
"Het Hogeland",26,7,1,54.4,14.6,2.1
"Heumen",58,17,5,352.6,103.3,30.4
"Heusden",110,42,14,246.1,94,31.3
"Hillegom",28,7,1,126.1,31.5,4.5
"Hilvarenbeek",31,7,4,199.8,45.1,25.8
"Hilversum",118,25,4,129.8,27.5,4.4
"Hoeksche Waard",208,69,13,237.8,78.9,14.9
"Hof van Twente",57,14,2,162.8,40,5.7
"Hollands Kroon",56,26,6,115.6,53.7,12.4
"Hoogeveen",64,15,5,114.9,26.9,9
"Hoorn",73,29,11,99.7,39.6,15
"Horst aan de Maas",105,40,19,247.4,94.3,44.8
"Houten",98,24,11,195.4,47.9,21.9
"Huizen",80,18,3,193.8,43.6,7.3
"Hulst",26,8,4,94.4,29,14.5
"IJsselstein",95,33,25,278.5,96.7,73.3
"Kaag en Braassem",23,6,2,84.2,22,7.3
"Kampen",288,58,24,530,106.7,44.2
"Kapelle",18,2,1,141.8,15.8,7.9
"Katwijk",146,22,9,222,33.5,13.7
"Kerkrade",134,54,19,292.9,118,41.5
"Koggenland",30,6,6,131.9,26.4,26.4
"Krimpen aan den IJssel",55,9,4,186.2,30.5,13.5
"Krimpenerwaard",122,40,19,216.6,71,33.7
"Laarbeek",91,35,25,403.9,155.3,111
"Landerd",115,34,17,731.1,216.1,108.1
"Landgraaf",110,48,11,293.7,128.1,29.4
"Landsmeer",21,3,2,182.7,26.1,17.4
"Langedijk",41,16,2,145.6,56.8,7.1
"Lansingerland",150,35,15,240.4,56.1,24
"Laren",24,8,1,212.9,71,8.9
"Leeuwarden",50,33,6,40.3,26.6,4.8
"Leiden",113,36,14,90.3,28.8,11.2
"Leiderdorp",24,10,3,88.7,37,11.1
"Leidschendam-Voorburg",81,19,7,105.8,24.8,9.1
"Lelystad",122,51,10,155.2,64.9,12.7
"Leudal",162,53,22,451.3,147.6,61.3
"Leusden",34,8,4,111.8,26.3,13.2
"Lingewaard",83,28,6,178.1,60.1,12.9
"Lisse",20,6,2,87.1,26.1,8.7
"Lochem",69,12,8,204.6,35.6,23.7
"Loon op Zand",49,20,6,209.3,85.4,25.6
"Lopik",49,18,5,338.6,124.4,34.6
"Loppersum",2,0,0,21,0,0
"Losser",21,7,0,92.6,30.9,0
"Maasdriel",31,15,4,123.8,59.9,16
"Maasgouw",74,26,10,308.8,108.5,41.7
"Maassluis",45,17,2,135.5,51.2,6
"Maastricht",562,158,66,462.3,130,54.3
"Medemblik",63,17,6,139.7,37.7,13.3
"Meerssen",75,18,9,398.3,95.6,47.8
"Meierijstad",453,180,114,557.9,221.7,140.4
"Meppel",28,6,3,82.6,17.7,8.8
"Middelburg",43,14,7,88.1,28.7,14.3
"Midden-Delfland",14,4,0,72.4,20.7,0
"Midden-Drenthe",19,6,0,57.3,18.1,0
"Midden-Groningen",26,6,1,42.8,9.9,1.6
"Mill en Sint Hubert",28,9,4,255.9,82.3,36.6
"Moerdijk",54,13,6,145.4,35,16.2
"Molenlanden",92,17,4,209.4,38.7,9.1
"Montferland",70,11,4,194.4,30.5,11.1
