"Provinces","Cases"
"Drenthe",421
"Flevoland",647
"Friesland",406
"Gelderland",4381
"Groningen",260
"Limburg",3545
"North Brabant",7211
"North Holland",5091
"Overijssel",2465
"South Holland",6262
"Utrecht",2503
"Zeeland",553
