Municipality,Cases,Hospitalization,Deaths,Population,Cases per 100k,Hospitalization per 100k,Deaths per 100k
Haarlemmermeer,194,58,18,156039,124.3,37.2,11.5
Halderberge,52,13,6,30277,171.7,42.9,19.8
Hardenberg,162,23,7,60940,265.8,37.7,11.5
Harderwijk,117,28,13,48429,241.6,57.8,26.8
Hardinxveld-Giessendam,28,1,2,18295,153,5.5,10.9
Harlingen,16,4,1,15720,101.8,25.4,6.4
Hattem,41,12,5,12213,335.7,98.3,40.9
Heemskerk,75,25,9,39188,191.4,63.8,23
Heemstede,87,10,30,27239,319.4,36.7,110.1
Heerde,172,37,25,18587,925.4,199.1,134.5
Heerenveen,81,13,17,50494,160.4,25.7,33.7
Heerhugowaard,134,26,8,57592,232.7,45.1,13.9
Heerlen,309,114,44,87057,354.9,130.9,50.5
Heeze-Leende,55,15,8,16150,340.6,92.9,49.5
Heiloo,43,9,7,23974,179.4,37.5,29.2
Hellendoorn,74,8,4,35923,206,22.3,11.1
Hellevoetsluis,58,14,1,40158,144.4,34.9,2.5
Helmond,296,95,32,92432,320.2,102.8,34.6
Hendrik-Ido-Ambacht,29,6,3,31204,92.9,19.2,9.6
Hengelo,112,20,15,81147,138,24.6,18.5
Het Hogeland,26,7,2,47834,54.4,14.6,4.2
Heumen,64,17,6,16450,389.1,103.3,36.5
Heusden,128,44,18,44699,286.4,98.4,40.3
Hillegom,28,7,2,22208,126.1,31.5,9
Hilvarenbeek,35,7,5,15514,225.6,45.1,32.2
Hilversum,155,27,4,90883,170.5,29.7,4.4
Hoeksche Waard,244,71,14,87461,279,81.2,16
Hof van Twente,58,15,2,35013,165.7,42.8,5.7
Hollands Kroon,57,26,6,48434,117.7,53.7,12.4
Hoogeveen,79,15,5,55697,141.8,26.9,9
Hoorn,76,30,11,73232,103.8,41,15
Horst aan de Maas,114,40,23,42433,268.7,94.3,54.2
Houten,106,24,12,50146,211.4,47.9,23.9
Huizen,96,19,3,41273,232.6,46,7.3
Hulst,29,9,4,27556,105.2,32.7,14.5
IJsselstein,113,33,28,34110,331.3,96.7,82.1
Kaag en Braassem,26,6,2,27300,95.2,22,7.3
Kampen,305,59,26,54340,561.3,108.6,47.8
Kapelle,22,3,1,12691,173.4,23.6,7.9
Katwijk,167,26,11,65754,254,39.5,16.7
Kerkrade,157,56,24,45744,343.2,122.4,52.5
Koggenland,32,6,6,22752,140.6,26.4,26.4
Krimpen aan den IJssel,63,9,5,29533,213.3,30.5,16.9
Krimpenerwaard,130,42,19,56319,230.8,74.6,33.7
Laarbeek,103,37,26,22530,457.2,164.2,115.4
Landerd,129,39,20,15730,820.1,247.9,127.1
Landgraaf,125,50,12,37457,333.7,133.5,32
Landsmeer,22,3,2,11492,191.4,26.1,17.4
Langedijk,43,16,2,28157,152.7,56.8,7.1
Lansingerland,159,36,18,62396,254.8,57.7,28.8
Laren,24,8,1,11274,212.9,71,8.9
Leeuwarden,54,33,6,124058,43.5,26.6,4.8
Leiden,124,37,15,125174,99.1,29.6,12
Leiderdorp,27,10,5,27059,99.8,37,18.5
Leidschendam-Voorburg,91,19,7,76553,118.9,24.8,9.1
Lelystad,140,56,12,78619,178.1,71.2,15.3
Leudal,171,53,27,35896,476.4,147.6,75.2
Leusden,40,8,4,30399,131.6,26.3,13.2
Lingewaard,92,29,8,46606,197.4,62.2,17.2
Lisse,20,6,2,22957,87.1,26.1,8.7
Lochem,77,12,10,33730,228.3,35.6,29.6
Loon op Zand,52,20,6,23407,222.2,85.4,25.6
Lopik,54,19,7,14471,373.2,131.3,48.4
Loppersum,2,0,0,9533,21,0,0
Losser,22,7,0,22685,97,30.9,0
Maasdriel,39,15,4,25034,155.8,59.9,16
Maasgouw,91,27,10,23960,379.8,112.7,41.7
Maassluis,49,17,3,33216,147.5,51.2,9
Maastricht,635,167,87,121558,522.4,137.4,71.6
Medemblik,68,17,6,45104,150.8,37.7,13.3
Meerssen,83,21,10,18832,440.7,111.5,53.1
Meierijstad,495,202,118,81197,609.6,248.8,145.3
Meppel,30,6,3,33902,88.5,17.7,8.8
Middelburg,48,17,7,48810,98.3,34.8,14.3
Midden-Delfland,15,4,0,19344,77.5,20.7,0
Midden-Drenthe,19,6,0,33182,57.3,18.1,0
Midden-Groningen,29,6,2,60804,47.7,9.9,3.3
Mill en Sint Hubert,34,9,4,10941,310.8,82.3,36.6
Moerdijk,64,13,8,37136,172.3,35,21.5
Molenlanden,98,18,5,43931,223.1,41,11.4
Montferland,81,12,4,36009,224.9,33.3,11.1
Montfoort,34,12,4,13920,244.3,86.2,28.7
Mook en Middelaar,33,6,4,7847,420.5,76.5,51
Neder-Betuwe,101,31,17,24342,414.9,127.4,69.8
Nederweert,49,30,7,17022,287.9,176.2,41.1
Nieuwegein,101,39,12,63461,159.2,61.5,18.9
Nieuwkoop,45,8,4,28809,156.2,27.8,13.9
Nijkerk,51,22,2,43176,118.1,51,4.6
Nijmegen,510,119,48,177698,287,67,27
Nissewaard,142,42,10,85237,166.6,49.3,11.7
Noardeast-Fryslân,23,6,4,45251,50.8,13.3,8.8
Noord-Beveland,6,1,0,7395,81.1,13.5,0
Noordenveld,18,3,1,31242,57.6,9.6,3.2
Noordoostpolder,66,14,4,47262,139.6,29.6,8.5
Noordwijk,39,15,2,43528,89.6,34.5,4.6
Nuenen Gerwen en Nederwetten,44,16,8,23379,188.2,68.4,34.2
Nunspeet,185,36,18,27845,664.4,129.3,64.6
Oegstgeest,36,8,3,24843,144.9,32.2,12.1
Oirschot,55,12,7,18723,293.8,64.1,37.4
Oisterwijk,58,16,9,26241,221,61,34.3
Oldambt,12,6,0,38213,31.4,15.7,0
Oldebroek,137,32,15,23645,579.4,135.3,63.4
Oldenzaal,48,14,5,31832,150.8,44,15.7
Olst-Wijhe,44,12,8,18251,241.1,65.7,43.8
Ommen,49,9,2,18007,272.1,50,11.1
Oost Gelre,48,9,5,29623,162,30.4,16.9
Oosterhout,94,42,12,55990,167.9,75,21.4
Ooststellingwerf,7,3,0,25472,27.5,11.8,0
Oostzaan,26,11,1,9733,267.1,113,10.3
Opmeer,8,1,1,11837,67.6,8.4,8.4
Opsterland,22,6,0,29742,74,20.2,0
Oss,432,163,79,91932,469.9,177.3,85.9
Oude IJsselstreek,65,15,7,39392,165,38.1,17.8
Ouder-Amstel,30,5,0,14029,213.8,35.6,0
Oudewater,49,25,7,10226,479.2,244.5,68.5
Overbetuwe,114,56,13,47909,238,116.9,27.1
Papendrecht,49,7,6,32133,152.5,21.8,18.7
